course_id,course_name,course_desc,course_category,course_level,start_date,num_weeks,num_learners_registered,num_TAs,nps
12,Applied Machine Learning,Design;build;and debug machine learning models for classification and regression tasks using a variety of datasets with Python (Numpy;Scikit;Pyplot). Learn best practices to plan and execute ML development projects whether large or small.,Machine Learning,B,2021-06-23 10:37:00,1,68,2,85
13,Data Science for Security and Risk,Head of Data at Mati will teach a course on using Data Science to improve Security and Risk ,Data Science,B,2018-02-21 08:08:00,4,155,4,60
14,Data Centric Deep Learning,A trope we often hear is that data is at the heart of deep learning. But how exactly do you manage;improve;and repair deep learning models with data? This course teaches students applied techniques to measure and improve data quality;deep learning infrastructure to do continuous testing and deployment;iterative annotation pipelines;and techniques to respond to distribution shift and adversarial examples. Projects will be grounded in practical challenges spanning computer vision and natural language processing.,Deep Learning,A,2019-12-29 18:05:00,8,46,1,67
15,Data Engineering with Dagster,A well built data platform allows for fast iteration and safe deployments. This course will teach you  how to design;build;and maintain a data platform that supports a wide range of data tasks.You will start by taking a simple data workflow;common to most companies;and deconstructing it to its core components. By the end of the course;you will reimplement the pipeline using modern data frameworks;running in the cloud.,Data Engineering,B,2018-02-06 17:33:00,7,159,2,57
16,Deep Learning Essentials,Learn the foundations of deep learning and practice with training and implementing neural networks in Pytorch while covering topics including convolutional neural networks (CNNs);transformers;and generative adversarial networks (GANs).,Deep Learning,B,2019-12-13 01:16:00,1,38,1,65
17,Search Fundamentals,We have designed this 2-week course to introduce the fundamentals of search to engineers;data scientists;and other technical professionals who are new to the area or interested in working in it. We will cover the basics of indexing;querying;hand-tuned ranking;aggregations;and search user interfaces.,Search,B,2016-07-04 15:05:00,7,,4,66
18,Data Engineering with Dagster,A well built data platform allows for fast iteration and safe deployments. This course will teach you  how to design;build;and maintain a data platform that supports a wide range of data tasks.You will start by taking a simple data workflow;common to most companies;and deconstructing it to its core components. By the end of the course;you will reimplement the pipeline using modern data frameworks;running in the cloud.,Data Engineering,B,2022-11-20 04:44:00,1,184,4,81
19,Intro to SQL,This course provides an introduction to SQL;a programming language that will unleash your ability to explore data. We will cover all the fundamentals of SQL;and you will leave knowing how to issue SQL queries and interact with databases;as well as  how to translate English queries to SQL correctly and quickly. We will approach SQL in a hands-on manner with real-life examples and we will build complexity in our SQL queries week over week. ,Data Engineering,B,2018-02-18 15:55:00,6,38,1,55
20,Spoken Language Processing,Learn to design and build voice assistant or voice cloning systems;using available APIs and adjustable pre-trained models;as well as creating them from scratch in PyTorch. You will learn solid audio processing fundamentals combined with the most important advances in automatic speech recognition and speech synthesis methods.,Language Processing,A,2023-08-19 01:11:00,5,138,3,76
21,Data Centric Deep Learning,A trope we often hear is that data is at the heart of deep learning. But how exactly do you manage;improve;and repair deep learning models with data? This course teaches students applied techniques to measure and improve data quality;deep learning infrastructure to do continuous testing and deployment;iterative annotation pipelines;and techniques to respond to distribution shift and adversarial examples. Projects will be grounded in practical challenges spanning computer vision and natural language processing.,Deep Learning,A,2018-05-22 01:20:00,4,49,1,65
22,Intro to SQL,This course provides an introduction to SQL;a programming language that will unleash your ability to explore data. We will cover all the fundamentals of SQL;and you will leave knowing how to issue SQL queries and interact with databases;as well as  how to translate English queries to SQL correctly and quickly. We will approach SQL in a hands-on manner with real-life examples and we will build complexity in our SQL queries week over week. ,Data Engineering,B,2023-05-19 08:26:00,1,163,2,60
23,Fundamentals of Data Modeling,This course provides an introduction to the fundamentals of data modeling for modern data warehouses. We use the Kimball dimensional model to guide us;but that does not mean this class is all theory! We have designed this course so you will learn the theory behind data modeling (normalization / denormalization;star schemas;fact and dimension tables) and you will build actual models using real world data. We will use plain SQL so you can do modeling whether you only have access to SQL or you are using a tool like dbt. By the end of this course;you will have a deep understanding of dimensional modeling;and you will have built one from scratch.,Data Engineering,B,2023-01-11 14:59:00,5,71,1,78
24,How to Implement ML Papers,Learn how to implement the proposed algorithms;models;and techniques from ML papers each week;while learning tips and tricks on debugging the implementation efforts and how to reproduce results in your own applications.,Machine Learning,A,2021-11-08 15:12:00,2,146,3,54
25,Data Engineering with Dagster,A well built data platform allows for fast iteration and safe deployments. This course will teach you  how to design;build;and maintain a data platform that supports a wide range of data tasks.You will start by taking a simple data workflow;common to most companies;and deconstructing it to its core components. By the end of the course;you will reimplement the pipeline using modern data frameworks;running in the cloud.,Data Engineering,B,2017-04-27 12:02:00,7,64,2,74
26,Analytics Engineering with dbt,Learn the modern analytics stack and best practices as an analytics engineer by using dbt with e-commerce data. Build data models to address real-world strategic questions.,Data Engineering,B,2018-06-29 20:02:00,6,122,3,64
27,Applied Machine Learning,Design;build;and debug machine learning models for classification and regression tasks using a variety of datasets with Python (Numpy;Scikit;Pyplot). Learn best practices to plan and execute ML development projects whether large or small.,Machine Learning,B,2017-10-18 13:35:00,6,15,1,67
28,Spoken Language Processing,Learn to design and build voice assistant or voice cloning systems;using available APIs and adjustable pre-trained models;as well as creating them from scratch in PyTorch. You will learn solid audio processing fundamentals combined with the most important advances in automatic speech recognition and speech synthesis methods.,Language Processing,A,2016-07-26 10:37:00,1,68,1,51
29,How to Implement ML Papers,Learn how to implement the proposed algorithms;models;and techniques from ML papers each week;while learning tips and tricks on debugging the implementation efforts and how to reproduce results in your own applications.,Machine Learning,A,2020-02-11 08:44:00,8,181,1,67
30,Applied Machine Learning,Design;build;and debug machine learning models for classification and regression tasks using a variety of datasets with Python (Numpy;Scikit;Pyplot). Learn best practices to plan and execute ML development projects whether large or small.,Machine Learning,B,2022-04-11 15:46:00,7,58,1,71
31,Fundamentals of Data Modeling,This course provides an introduction to the fundamentals of data modeling for modern data warehouses. We use the Kimball dimensional model to guide us;but that does not mean this class is all theory! We have designed this course so you will learn the theory behind data modeling (normalization / denormalization;star schemas;fact and dimension tables) and you will build actual models using real world data. We will use plain SQL so you can do modeling whether you only have access to SQL or you are using a tool like dbt. By the end of this course;you will have a deep understanding of dimensional modeling;and you will have built one from scratch.,Data Engineering,B,2019-05-22 16:43:00,8,196,1,70
32,Social Media Mining,Collect;analyze;and present insights from social media data — including the Twitter API — while learning concepts of natural language processing and graph analytics.,Language Processing,A,2019-03-22 11:01:00,6,37,1,66
33,Python Crash Course,Learn how to write programs in Python! By the end of our time together;you will have programmed decision-making algorithms;photo filters;procedural text generators;and a quiz using object-oriented programming.,Python,B,2017-02-13 14:42:00,3,81,2,87
34,Python Crash Course,Learn how to write programs in Python! By the end of our time together;you will have programmed decision-making algorithms;photo filters;procedural text generators;and a quiz using object-oriented programming.,Python,B,2022-06-19 00:58:00,2,22,1,87
35,How to Implement ML Papers,Learn how to implement the proposed algorithms;models;and techniques from ML papers each week;while learning tips and tricks on debugging the implementation efforts and how to reproduce results in your own applications.,Machine Learning,A,2023-05-30 20:14:00,4,52,1,75
36,Data Science for Security and Risk,Head of Data at Mati will teach a course on using Data Science to improve Security and Risk ,Data Science,B,2023-03-21 22:29:00,3,,1,72
37,Python Crash Course,Learn how to write programs in Python! By the end of our time together;you will have programmed decision-making algorithms;photo filters;procedural text generators;and a quiz using object-oriented programming.,Python,B,2018-04-13 11:57:00,8,49,1,56
38,Web3 Applications & Filecoin/IPFS,This course provides an introduction to building simple DApps on a blockchain with storage on Filecoin/IPFS.  You will finish the course with a mastery of the infrastructure tools used to build Web3 apps;knowledge of how to build a Web3 app that is accessible through the Web2 internet; and will understand how decentralized storage can be used to host files a Web3 app utilizes. We will start with the fundamentals of decentralized storage and then move on to programming for useful applications,Data Engineering,A,2021-11-19 19:46:00,1,90,1,68
39,Deep Learning Essentials,Learn the foundations of deep learning and practice with training and implementing neural networks in Pytorch while covering topics including convolutional neural networks (CNNs);transformers;and generative adversarial networks (GANs).,Deep Learning,B,2023-05-10 10:46:00,3,24,1,72
40,How to Implement ML Papers,Learn how to implement the proposed algorithms;models;and techniques from ML papers each week;while learning tips and tricks on debugging the implementation efforts and how to reproduce results in your own applications.,Machine Learning,A,2020-10-04 16:37:00,8,113,1,78
41,Search Fundamentals,We have designed this 2-week course to introduce the fundamentals of search to engineers;data scientists;and other technical professionals who are new to the area or interested in working in it. We will cover the basics of indexing;querying;hand-tuned ranking;aggregations;and search user interfaces.,Search,B,2016-08-27 13:20:00,6,76,1,72
42,Applied Machine Learning,Design;build;and debug machine learning models for classification and regression tasks using a variety of datasets with Python (Numpy;Scikit;Pyplot). Learn best practices to plan and execute ML development projects whether large or small.,Machine Learning,B,2018-02-15 03:01:00,3,181,3,74
43,Intro to SQL,This course provides an introduction to SQL;a programming language that will unleash your ability to explore data. We will cover all the fundamentals of SQL;and you will leave knowing how to issue SQL queries and interact with databases;as well as  how to translate English queries to SQL correctly and quickly. We will approach SQL in a hands-on manner with real-life examples and we will build complexity in our SQL queries week over week. ,Data Engineering,B,2023-06-27 05:09:00,1,127,3,78
44,How to Implement ML Papers,Learn how to implement the proposed algorithms;models;and techniques from ML papers each week;while learning tips and tricks on debugging the implementation efforts and how to reproduce results in your own applications.,Machine Learning,A,2020-04-19 23:13:00,7,43,1,78
45,Fundamentals of Data Modeling,This course provides an introduction to the fundamentals of data modeling for modern data warehouses. We use the Kimball dimensional model to guide us;but that does not mean this class is all theory! We have designed this course so you will learn the theory behind data modeling (normalization / denormalization;star schemas;fact and dimension tables) and you will build actual models using real world data. We will use plain SQL so you can do modeling whether you only have access to SQL or you are using a tool like dbt. By the end of this course;you will have a deep understanding of dimensional modeling;and you will have built one from scratch.,Data Engineering,B,2018-04-12 17:36:00,8,149,3,69
46,Spoken Language Processing,Learn to design and build voice assistant or voice cloning systems;using available APIs and adjustable pre-trained models;as well as creating them from scratch in PyTorch. You will learn solid audio processing fundamentals combined with the most important advances in automatic speech recognition and speech synthesis methods.,Language Processing,A,2021-05-05 11:54:00,5,179,1,88
47,Search with Machine Learning,We have designed this course to cover the fundamentals of integrating machine learning and natural language processing techniques into search engines. We will dive into using machine learning for ranking;content understanding;and query understanding;along with how to use embeddings;dense vectors and deep learning to improve retrieval and ranking.,Machine Learning,A,2016-12-03 06:47:00,2,151,1,59
48,Analytics Engineering with dbt,Learn the modern analytics stack and best practices as an analytics engineer by using dbt with e-commerce data. Build data models to address real-world strategic questions.,Data Engineering,B,2018-09-28 21:30:00,5,139,2,78
49,How to Implement ML Papers,Learn how to implement the proposed algorithms;models;and techniques from ML papers each week;while learning tips and tricks on debugging the implementation efforts and how to reproduce results in your own applications.,Machine Learning,A,2021-01-27 09:05:00,5,21,1,94
50,Data Centric Deep Learning,A trope we often hear is that data is at the heart of deep learning. But how exactly do you manage;improve;and repair deep learning models with data? This course teaches students applied techniques to measure and improve data quality;deep learning infrastructure to do continuous testing and deployment;iterative annotation pipelines;and techniques to respond to distribution shift and adversarial examples. Projects will be grounded in practical challenges spanning computer vision and natural language processing.,Deep Learning,A,2023-11-02 23:15:00,3,199,3,72
51,Data Engineering with Dagster,A well built data platform allows for fast iteration and safe deployments. This course will teach you  how to design;build;and maintain a data platform that supports a wide range of data tasks.You will start by taking a simple data workflow;common to most companies;and deconstructing it to its core components. By the end of the course;you will reimplement the pipeline using modern data frameworks;running in the cloud.,Data Engineering,B,2016-01-29 06:07:00,2,186,4,77
52,Fundamentals of Data Modeling,This course provides an introduction to the fundamentals of data modeling for modern data warehouses. We use the Kimball dimensional model to guide us;but that does not mean this class is all theory! We have designed this course so you will learn the theory behind data modeling (normalization / denormalization;star schemas;fact and dimension tables) and you will build actual models using real world data. We will use plain SQL so you can do modeling whether you only have access to SQL or you are using a tool like dbt. By the end of this course;you will have a deep understanding of dimensional modeling;and you will have built one from scratch.,Data Engineering,B,2020-08-29 02:13:00,9,120,1,49
53,Fundamentals of Data Modeling,This course provides an introduction to the fundamentals of data modeling for modern data warehouses. We use the Kimball dimensional model to guide us;but that does not mean this class is all theory! We have designed this course so you will learn the theory behind data modeling (normalization / denormalization;star schemas;fact and dimension tables) and you will build actual models using real world data. We will use plain SQL so you can do modeling whether you only have access to SQL or you are using a tool like dbt. By the end of this course;you will have a deep understanding of dimensional modeling;and you will have built one from scratch.,Data Engineering,B,2017-09-05 20:15:00,4,180,1,74
54,Building Computer Vision Applications,This course provides an introduction to machine learning for computer vision with a focus on practical applications relevant to industry teams. In this course;we will “reverse-engineer” a number of applications;such as traffic flow analysis;digital medicine;optical character recognition;and video analytics.,Machine Learning,B,2023-10-16 13:13:00,3,70,2,85
55,Building Computer Vision Applications,This course provides an introduction to machine learning for computer vision with a focus on practical applications relevant to industry teams. In this course;we will “reverse-engineer” a number of applications;such as traffic flow analysis;digital medicine;optical character recognition;and video analytics.,Machine Learning,B,2016-03-13 10:14:00,6,115,3,77
56,Search with Machine Learning,We have designed this course to cover the fundamentals of integrating machine learning and natural language processing techniques into search engines. We will dive into using machine learning for ranking;content understanding;and query understanding;along with how to use embeddings;dense vectors and deep learning to improve retrieval and ranking.,Machine Learning,A,2017-04-10 04:14:00,2,107,3,77
57,Applied Machine Learning,Design;build;and debug machine learning models for classification and regression tasks using a variety of datasets with Python (Numpy;Scikit;Pyplot). Learn best practices to plan and execute ML development projects whether large or small.,Machine Learning,B,2017-08-06 03:39:00,8,99,2,75
58,Applied Machine Learning,Design;build;and debug machine learning models for classification and regression tasks using a variety of datasets with Python (Numpy;Scikit;Pyplot). Learn best practices to plan and execute ML development projects whether large or small.,Machine Learning,B,2016-03-10 03:33:00,4,112,2,77
59,Intro to SQL,This course provides an introduction to SQL;a programming language that will unleash your ability to explore data. We will cover all the fundamentals of SQL;and you will leave knowing how to issue SQL queries and interact with databases;as well as  how to translate English queries to SQL correctly and quickly. We will approach SQL in a hands-on manner with real-life examples and we will build complexity in our SQL queries week over week. ,Data Engineering,B,2018-03-26 14:29:00,7,183,5,67
60,Spoken Language Processing,Learn to design and build voice assistant or voice cloning systems;using available APIs and adjustable pre-trained models;as well as creating them from scratch in PyTorch. You will learn solid audio processing fundamentals combined with the most important advances in automatic speech recognition and speech synthesis methods.,Language Processing,A,2016-12-03 00:41:00,5,55,2,68
61,Data Science Experimental Methods,Learn how to conduct experiments and run A/B tests to effectively measure the impact of product launches and support effective decision making. We will cover topics like multivariate testing;p-value;and how to design experiments correctly for different scenarios.,Data Science,B,2020-10-09 04:20:00,8,196,1,53
62,Web3 Applications & Filecoin/IPFS,This course provides an introduction to building simple DApps on a blockchain with storage on Filecoin/IPFS.  You will finish the course with a mastery of the infrastructure tools used to build Web3 apps;knowledge of how to build a Web3 app that is accessible through the Web2 internet; and will understand how decentralized storage can be used to host files a Web3 app utilizes. We will start with the fundamentals of decentralized storage and then move on to programming for useful applications,Data Engineering,A,2017-07-09 09:51:00,1,191,3,66
63,People Analytics Jumpstart,Become a Qualified People Analytics Pro in 4 Weeks You will learn the techniques and tools you need to win roles in People Analytics;define the function for your organization;and stand out as a top analyst and HR specialist. This course focuses on the real-world day-to-day practice of analytics in modern;millennial-heavy workplaces.,Data Science,B,2021-10-03 04:10:00,4,103,2,71
64,Search Fundamentals,We have designed this 2-week course to introduce the fundamentals of search to engineers;data scientists;and other technical professionals who are new to the area or interested in working in it. We will cover the basics of indexing;querying;hand-tuned ranking;aggregations;and search user interfaces.,Search,B,2018-07-06 06:16:00,2,,4,76
65,People Analytics Jumpstart,Become a Qualified People Analytics Pro in 4 Weeks You will learn the techniques and tools you need to win roles in People Analytics;define the function for your organization;and stand out as a top analyst and HR specialist. This course focuses on the real-world day-to-day practice of analytics in modern;millennial-heavy workplaces.,Data Science,B,2019-04-08 07:46:00,7,188,2,54
66,Building Computer Vision Applications,This course provides an introduction to machine learning for computer vision with a focus on practical applications relevant to industry teams. In this course;we will “reverse-engineer” a number of applications;such as traffic flow analysis;digital medicine;optical character recognition;and video analytics.,Machine Learning,B,2021-04-26 22:09:00,7,,4,55
67,Data Science for Security and Risk,Head of Data at Mati will teach a course on using Data Science to improve Security and Risk ,Data Science,B,2020-05-20 01:44:00,7,87,1,53
68,Python Crash Course,Learn how to write programs in Python! By the end of our time together;you will have programmed decision-making algorithms;photo filters;procedural text generators;and a quiz using object-oriented programming.,Python,B,2019-07-15 23:47:00,4,140,2,78
69,People Analytics Jumpstart,Become a Qualified People Analytics Pro in 4 Weeks You will learn the techniques and tools you need to win roles in People Analytics;define the function for your organization;and stand out as a top analyst and HR specialist. This course focuses on the real-world day-to-day practice of analytics in modern;millennial-heavy workplaces.,Data Science,B,2016-09-04 18:33:00,6,33,2,74
70,People Analytics Jumpstart,Become a Qualified People Analytics Pro in 4 Weeks You will learn the techniques and tools you need to win roles in People Analytics;define the function for your organization;and stand out as a top analyst and HR specialist. This course focuses on the real-world day-to-day practice of analytics in modern;millennial-heavy workplaces.,Data Science,B,2018-06-26 01:06:00,4,47,1,57
71,Search Fundamentals,We have designed this 2-week course to introduce the fundamentals of search to engineers;data scientists;and other technical professionals who are new to the area or interested in working in it. We will cover the basics of indexing;querying;hand-tuned ranking;aggregations;and search user interfaces.,Search,B,2022-10-18 22:23:00,2,126,2,80
72,Analytics Engineering with dbt,Learn the modern analytics stack and best practices as an analytics engineer by using dbt with e-commerce data. Build data models to address real-world strategic questions.,Data Engineering,B,2021-07-27 17:55:00,8,112,2,70
73,Intro to SQL,This course provides an introduction to SQL;a programming language that will unleash your ability to explore data. We will cover all the fundamentals of SQL;and you will leave knowing how to issue SQL queries and interact with databases;as well as  how to translate English queries to SQL correctly and quickly. We will approach SQL in a hands-on manner with real-life examples and we will build complexity in our SQL queries week over week. ,Data Engineering,B,2022-11-19 04:57:00,2,118,2,85
74,Python Crash Course,Learn how to write programs in Python! By the end of our time together;you will have programmed decision-making algorithms;photo filters;procedural text generators;and a quiz using object-oriented programming.,Python,B,2016-05-26 17:43:00,4,41,1,75
75,People Analytics Jumpstart,Become a Qualified People Analytics Pro in 4 Weeks You will learn the techniques and tools you need to win roles in People Analytics;define the function for your organization;and stand out as a top analyst and HR specialist. This course focuses on the real-world day-to-day practice of analytics in modern;millennial-heavy workplaces.,Data Science,B,2020-03-31 23:12:00,13,123,1,63
76,Python Crash Course,Learn how to write programs in Python! By the end of our time together;you will have programmed decision-making algorithms;photo filters;procedural text generators;and a quiz using object-oriented programming.,Python,B,2023-03-06 15:23:00,8,,2,57
77,Intro to SQL,This course provides an introduction to SQL;a programming language that will unleash your ability to explore data. We will cover all the fundamentals of SQL;and you will leave knowing how to issue SQL queries and interact with databases;as well as  how to translate English queries to SQL correctly and quickly. We will approach SQL in a hands-on manner with real-life examples and we will build complexity in our SQL queries week over week. ,Data Engineering,B,2022-03-22 08:46:00,8,170,2,64
78,Analytics Engineering with dbt,Learn the modern analytics stack and best practices as an analytics engineer by using dbt with e-commerce data. Build data models to address real-world strategic questions.,Data Engineering,B,2018-04-14 21:33:00,5,95,2,67
79,Python for Data Science,Build projects like computing your own heart rate from an ECG;building a Shazam music identifier clone;and more while learning how to use core python libraries like Numpy;Scipy;Scikit;and Matplotlib.,Machine Learning,B,2017-03-16 17:27:00,7,187,2,56
80,Building Computer Vision Applications,This course provides an introduction to machine learning for computer vision with a focus on practical applications relevant to industry teams. In this course;we will “reverse-engineer” a number of applications;such as traffic flow analysis;digital medicine;optical character recognition;and video analytics.,Machine Learning,B,2019-04-06 00:07:00,8,116,1,76
81,Data Science for Security and Risk,Head of Data at Mati will teach a course on using Data Science to improve Security and Risk ,Data Science,B,2023-03-28 22:29:00,1,157,2,60
82,Natural Language Processing,Build your own auto-compose tool and other projects while learning key NLP concepts such as BERT;entity recognition;intent classification;spacy;and Transformer models powering search engines like Google or voice assistants like Google Home or Amazon Alexa.,Language Processing,B,2022-01-10 15:41:00,7,147,3,67
83,Personalized Recommendations at Scale,Recommender systems undertake the challenging work to surface relevant content to users given millions of possible choices. In this course;we provide a holistic overview of Machine Learning modeling choices that go into developing and deploying multi-stage recommenders capable of serving recommendations from hundreds of million content choices to multiple hundred million users. The course goes into algorithmic models that power the various stages of the recommender;including the candidate generator;core ranker;user representation learning modules;and offline and online evaluation modules. The course ends with case studies;lessons;and practical considerations from deployed systems powering over 400 million users.,Machine Learning,A,2017-10-03 03:36:00,7,134,1,70
84,Real Time Machine Learning,Stream processing enables companies in every industry to drive intelligence and action in real-time by processing data as it comes in from sources such as IoT devices;customer interactions and order transactions;social media;etc.  Use cases for stream processing can broadly be categorized into four areas: streaming analytics;monitoring;leaderboard;and real-time predictions.  This course will cover stream processing paradigm;and streaming processing system architecture. Each week;students will build stream processing applications using widely adopted stream processing technologies;such as Apache Kafka;Apache Spark and Apache Flink.  ,Machine Learning,A,2017-04-27 06:16:00,8,42,2,77
85,Data Science for Security and Risk,Head of Data at Mati will teach a course on using Data Science to improve Security and Risk ,Data Science,B,2020-09-25 12:15:00,9,31,1,44
86,Social Media Mining,Collect;analyze;and present insights from social media data — including the Twitter API — while learning concepts of natural language processing and graph analytics.,Language Processing,A,2018-01-30 04:14:00,6,64,2,70
87,Search with Machine Learning,We have designed this course to cover the fundamentals of integrating machine learning and natural language processing techniques into search engines. We will dive into using machine learning for ranking;content understanding;and query understanding;along with how to use embeddings;dense vectors and deep learning to improve retrieval and ranking.,Machine Learning,A,2022-01-06 08:56:00,7,74,2,75
88,Real Time Machine Learning,Stream processing enables companies in every industry to drive intelligence and action in real-time by processing data as it comes in from sources such as IoT devices;customer interactions and order transactions;social media;etc.  Use cases for stream processing can broadly be categorized into four areas: streaming analytics;monitoring;leaderboard;and real-time predictions.  This course will cover stream processing paradigm;and streaming processing system architecture. Each week;students will build stream processing applications using widely adopted stream processing technologies;such as Apache Kafka;Apache Spark and Apache Flink.  ,Machine Learning,A,2020-04-25 04:22:00,7,67,1,74
89,Applied Machine Learning,Design;build;and debug machine learning models for classification and regression tasks using a variety of datasets with Python (Numpy;Scikit;Pyplot). Learn best practices to plan and execute ML development projects whether large or small.,Machine Learning,B,2017-08-05 12:46:00,1,169,2,64
90,People Analytics Jumpstart,Become a Qualified People Analytics Pro in 4 Weeks You will learn the techniques and tools you need to win roles in People Analytics;define the function for your organization;and stand out as a top analyst and HR specialist. This course focuses on the real-world day-to-day practice of analytics in modern;millennial-heavy workplaces.,Data Science,B,2016-11-30 05:54:00,4,129,3,74
91,Advanced SQL,Over these four weeks;you will learn the advanced SQL kills necessary to dive into real datasets with confidence. We will clean up messy and nested data;learn about EAV schemas and pivots;and dive deep into advanced window functions. We will also cover performance;advanced joins;and other complex SQL patterns to optimize queries.,Data Engineering,A,2020-11-05 10:02:00,3,,1,43
92,Web3 Applications & Filecoin/IPFS,This course provides an introduction to building simple DApps on a blockchain with storage on Filecoin/IPFS.  You will finish the course with a mastery of the infrastructure tools used to build Web3 apps;knowledge of how to build a Web3 app that is accessible through the Web2 internet; and will understand how decentralized storage can be used to host files a Web3 app utilizes. We will start with the fundamentals of decentralized storage and then move on to programming for useful applications,Data Engineering,A,2021-06-02 05:00:00,7,111,3,66
93,Web3 Applications & Filecoin/IPFS,This course provides an introduction to building simple DApps on a blockchain with storage on Filecoin/IPFS.  You will finish the course with a mastery of the infrastructure tools used to build Web3 apps;knowledge of how to build a Web3 app that is accessible through the Web2 internet; and will understand how decentralized storage can be used to host files a Web3 app utilizes. We will start with the fundamentals of decentralized storage and then move on to programming for useful applications,Data Engineering,A,2021-07-10 23:24:00,4,36,2,69
94,Web3 Applications & Filecoin/IPFS,This course provides an introduction to building simple DApps on a blockchain with storage on Filecoin/IPFS.  You will finish the course with a mastery of the infrastructure tools used to build Web3 apps;knowledge of how to build a Web3 app that is accessible through the Web2 internet; and will understand how decentralized storage can be used to host files a Web3 app utilizes. We will start with the fundamentals of decentralized storage and then move on to programming for useful applications,Data Engineering,A,2022-04-05 20:38:00,6,146,2,71
95,Deep Learning Essentials,Learn the foundations of deep learning and practice with training and implementing neural networks in Pytorch while covering topics including convolutional neural networks (CNNs);transformers;and generative adversarial networks (GANs).,Deep Learning,B,2021-03-07 02:54:00,1,117,3,63
96,Fundamentals of Data Modeling,This course provides an introduction to the fundamentals of data modeling for modern data warehouses. We use the Kimball dimensional model to guide us;but that does not mean this class is all theory! We have designed this course so you will learn the theory behind data modeling (normalization / denormalization;star schemas;fact and dimension tables) and you will build actual models using real world data. We will use plain SQL so you can do modeling whether you only have access to SQL or you are using a tool like dbt. By the end of this course;you will have a deep understanding of dimensional modeling;and you will have built one from scratch.,Data Engineering,B,2021-01-31 04:18:00,8,191,2,55
